"City","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","Sport","Event","Medal","Country","host","TeamEvent","won","n_medals"
"Rio de Janeiro",78380,"Guilherme Melaragno",1,22,184,88,"Brazil","BRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",1,0,0,0
"Rio de Janeiro",110915,"Sin A-Lam",0,29,168,56,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,1
"Rio de Janeiro",27750,"Eli Dershwitz",1,20,185,77,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",47885,"Anatoliy Anatoliyovych Herei",1,27,186,75,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",19644,"Miles Cleveland Chamley-Watson",1,26,193,80,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team","Bronze","Brazil",0,1,1,0
"Rio de Janeiro",110915,"Sin A-Lam",0,29,168,56,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,1
"Rio de Janeiro",32480,"Irina Embrich (Zamkovaja-)",0,36,170,54,"Estonia","EST","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",104227,"Timur Marselevich Safin",1,23,182,82,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team","Gold","Brazil",0,1,1,1
"Rio de Janeiro",51133,"Courtney Lyn Hurley",0,25,173,80,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,1
"Rio de Janeiro",71060,"Tatyana Yuryevna Logunova",0,36,174,62,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,2
"Rio de Janeiro",91120,"Kseniya Hennadivna Panteleieva",0,22,168,75,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",80922,"Noura Mohamed",0,18,173,60,"Egypt","EGY","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",17863,"Marie-Florence Candassamy",0,25,185,74,"France","FRA","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",60761,"Erika Kirpu",0,24,174,61,"Estonia","EST","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",87174,"Nikolai Novosjolov",1,36,191,93,"Estonia","EST","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",124579,"Saskia Loretta van Erven Garca",0,28,175,64,"Colombia","COL","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",57230,"Kang Young-Mi",0,31,164,63,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",93550,"Ghislain Gabriel Perrier",1,29,179,75,"Brazil","BRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",1,1,0,0
"Rio de Janeiro",38841,"Daniele Garozzo",1,23,177,65,"Italy","ITA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual","Gold","Brazil",0,0,1,0
"Rio de Janeiro",107837,"Athos Marangon Schwantes",1,31,190,85,"Brazil","BRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",1,1,0,0
"Rio de Janeiro",105556,"Andrea Santarelli",1,23,184,76,"Italy","ITA","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team","Silver","Brazil",0,1,1,0
"Rio de Janeiro",51389,"Hwang Seo-Na",0,26,163,55,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",36475,"Tarek Fouad Muhammad Kamil Ayad",1,29,180,75,"Egypt","EGY","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",90667,"Seyed Ali Pakdaman Esmaeilzadeh",1,25,193,94,"Iran","IRI","2016 Summer",2016,"Summer","Fencing","Fencing Men's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",133079,"Yoon Ji-Su",0,23,170,60,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",57230,"Kang Young-Mi",0,31,164,63,"South Korea","KOR","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",59512,"Maksym Volodymyrovych Khvorost",1,34,186,85,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",69929,"Francisco Alberto Limardo Gascn",1,29,180,75,"Venezuela","VEN","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",59280,"Anissa Khelfaoui (-Nassonenko)",0,24,168,62,"Algeria","ALG","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",61435,"Edina Monika Knapek",0,38,166,53,"Hungary","HUN","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",96112,"Simona Pop (Deac-)",0,27,178,62,"Romania","ROU","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",96112,"Simona Pop (Deac-)",0,27,178,62,"Romania","ROU","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team","Gold","Brazil",0,1,1,0
"Rio de Janeiro",12574,"Gbor Gyula Boczk",1,39,192,89,"Hungary","HUN","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,1
"Rio de Janeiro",131654,"Dagmara Wozniak (Woniak-)",0,28,173,81,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team","Bronze","Brazil",0,1,1,0
"Rio de Janeiro",106488,"Fernando Augusto Dias Scavasin",1,31,184,80,"Brazil","BRA","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team",NA,"Brazil",1,1,0,0
"Rio de Janeiro",56091,"Bogna Jwiak",0,33,182,80,"Poland","POL","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",9612,"Julia Beljajeva",0,24,176,70,"Estonia","EST","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",9612,"Julia Beljajeva",0,24,176,70,"Estonia","EST","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,0
"Rio de Janeiro",51133,"Courtney Lyn Hurley",0,25,173,80,"United States","USA","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Team",NA,"Brazil",0,1,0,1
"Rio de Janeiro",20427,"Aleksey Borisovich Cheremisinov",1,31,183,75,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Team","Gold","Brazil",0,1,1,0
"Rio de Janeiro",120774,"Kenta Tokunan",1,28,183,83,"Japan","JPN","2016 Summer",2016,"Summer","Fencing","Fencing Men's Sabre, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",4442,"Vadim Vladimirovich Anokhin",1,24,192,91,"Russia","RUS","2016 Summer",2016,"Summer","Fencing","Fencing Men's epee, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",14698,"Ana Maria Florentina Brnz-Popescu",0,31,175,64,"Romania","ROU","2016 Summer",2016,"Summer","Fencing","Fencing Women's epee, Individual",NA,"Brazil",0,0,0,1
"Rio de Janeiro",59209,"Olha Hennadivna Kharlan",0,25,172,68,"Ukraine","UKR","2016 Summer",2016,"Summer","Fencing","Fencing Women's Sabre, Team","Silver","Brazil",0,1,1,2
"Rio de Janeiro",80887,"Aida Gabriella Mohamed",0,40,162,57,"Hungary","HUN","2016 Summer",2016,"Summer","Fencing","Fencing Women's Foil, Individual",NA,"Brazil",0,0,0,0
"Rio de Janeiro",89932,"Yuki Ota",1,30,171,69,"Japan","JPN","2016 Summer",2016,"Summer","Fencing","Fencing Men's Foil, Individual",NA,"Brazil",0,0,0,2
